ID,Control,SOC 2 Criteria,Risks Addressed,Type,Owner,Frequency,Evidence,Current State
C01,MFA required on Google Workspace; GitHub; Supabase; and Netlify,CC6.1,R02; R03,Preventive,CTO,Continuous,MFA enforcement settings screenshots,Partial
C02,Access removed within 24 hours when an employee leaves,CC6.2,R01,Preventive,Ops Manager,Per termination,Completed offboarding checklists,Not in place
C03,New access approved by a manager before it is granted,CC6.2,R06,Preventive,Ops Manager,Per new hire,Access request approvals,Partial
C04,Quarterly review of who has access to what,CC6.2; CC6.3,R01; R06,Detective,CTO,Quarterly,Signed access review,Not in place
C05,Admin access limited to people who need it,CC6.3,R06,Preventive,CTO,Continuous,List of admin accounts,Partial
C06,Database blocked from public access with row-level security on,CC6.1; CC6.6,R04,Preventive,CTO,Continuous,Database security settings screenshot,Partial
C07,Data encrypted at rest and in transit (HTTPS),CC6.1; CC6.7,R04,Preventive,CTO,Continuous,Encryption and HTTPS settings,In place
C08,Code changes need a second person to review before going live,CC8.1,R05,Preventive,CTO,Per change,Branch protection settings and pull request history,Not in place
C09,Security awareness training at hire and every year,CC1.4; CC2.2,R02; R07,Preventive,Ops Manager,Annual,Training completion records,Not in place
C10,Logs collected and reviewed every week for weird activity,CC7.2,R08,Detective,CTO,Weekly,Log review sign-offs,Not in place
C11,Incident response plan written and practiced every year,CC7.3; CC7.4,R09,Corrective,CEO,Annual,IR plan and tabletop exercise notes,Not in place
C12,Daily database backups with a restore test every quarter,CC7.5; CC9.1,R10,Corrective,CTO,Daily / Quarterly,Backup logs and restore test results,Partial
C13,Field tech phones have screen lock and remote wipe,CC6.7,R11,Preventive,Ops Manager,Continuous,Device management report,Not in place
C14,Antivirus running on all company laptops,CC6.8,R12,Preventive,CTO,Continuous,Antivirus dashboard screenshot,Partial
C15,Vendors reviewed before signing and every year after,CC9.2,R13; R14; R15,Detective,CEO,Annual,Vendor review records and vendor SOC 2 reports,Not in place
C16,Risk register reviewed and updated every year,CC3.1; CC3.2,All,Detective,CEO,Annual,Risk register app and CSV history,In place
C17,Security policies approved by leadership and signed by employees,CC2.2; CC5.3,All,Preventive,CEO,Annual,Signed policy acknowledgments,Not in place
C18,Background checks on all new hires,CC1.4,R01,Preventive,Ops Manager,Per new hire,Background check confirmations,In place
C19,Automatic alerts for vulnerable code libraries,CC7.1,R04; R12,Detective,CTO,Weekly,Dependabot alert history,Not in place
C20,Outage plan for when key vendors go down,CC9.1,R14; R15,Corrective,CEO,Annual,Business continuity plan,Not in place
